charges,created_at,entry_order_id,entry_price,entry_signal_id,entry_timestamp,exit_order_id,exit_price,exit_reason,exit_signal_id,exit_timestamp,exit_type,gross_pnl,id,instrument,multiplier,net_pnl,position_id,quantity,realized_pnl,security_id,side,status,strategy_id,trade_id,updated_at
174.88,2026-09-05 14:47:40,,77986.51,d8de1969-0d5c-470e-8dc8-4fa3b3489be3,2026-09-02T04:10:00+00:00,,77996.23,STOP_LOSS,,2026-09-02T05:40:00+00:00,,-97.20000000001164,1,GOLDM,10.0,-272.08000000001164,,1,,,SHORT,CLOSED,gold_01,63857ab2-6f92-4b26-be19-611feb45cd30,
174.89,2026-09-05 14:47:40,,77987.26,970da21b-bf27-4fa5-a817-4c7eb0448734,2026-09-02T04:15:00+00:00,,78004.77,STOP_LOSS,,2026-09-02T05:45:00+00:00,,-175.10000000009313,3,GOLDM,10.0,-349.9900000000931,,1,,,SHORT,CLOSED,gold_02,dd08c74c-371e-406c-afb4-29dc2f306e39,
242.84,2026-09-05 14:47:40,,238950.97,59b05d44-88e6-4196-bb0c-6cb64f375e86,2026-09-02T05:15:00+00:00,,239145.21,STOP_LOSS,,2026-09-02T05:30:00+00:00,,-971.1999999999534,5,SILVERM,5.0,-1214.0399999999534,,1,,,SHORT,CLOSED,silver_01,b63bba2a-df5a-4cf5-9476-dbe3250b94d0,
242.82,2026-09-05 14:47:40,,238929.35,4bed824e-ea9b-4e69-ac32-ba8c25ab7916,2026-09-02T05:20:00+00:00,,239145.21,STOP_LOSS,,2026-09-02T05:30:00+00:00,,-1079.2999999999302,7,SILVERM,5.0,-1322.11999999993,,1,,,SHORT,CLOSED,silver_02,9c1aee62-f788-411b-9963-8c336a3f5ebe,
242.81,2026-09-05 14:47:40,,238912.05,f1bc7110-c1c9-4b0b-900d-71318c1e0c60,2026-09-02T05:45:00+00:00,,239145.21,STOP_LOSS,,2026-09-02T06:15:00+00:00,,-1165.8000000000175,17,SILVERM,5.0,-1408.6100000000174,,1,,,SHORT,CLOSED,silver_02,8452f406-e624-4443-aef4-6c4b1bf619d2,
174.89,2026-09-05 14:47:40,,77988.98,509c62ef-5b3c-420d-a353-ce5bff3476d9,2026-09-02T06:25:00+00:00,,78006.96,STOP_LOSS,,2026-09-02T06:30:00+00:00,,-179.80000000010477,21,GOLDM,10.0,-354.69000000010476,,1,,,SHORT,CLOSED,gold_01,301914d0-1bd5-41c7-a326-31c62ea64f64,
174.92,2026-09-05 14:47:40,,78004.77,d236bcbb-fbd4-492c-b6b0-6977a56eebd6,2026-09-02T11:55:00+00:00,,78024.09,STOP_LOSS,,2026-09-02T12:30:00+00:00,,-193.19999999992433,25,GOLDM,10.0,-368.1199999999243,,1,,,SHORT,CLOSED,gold_01,56a91ba5-19ab-4608-a788-23dd667729af,
174.91,2026-09-05 14:47:40,,78003.26,1f8cc65b-64e6-4687-a33c-7284d9cfeb95,2026-09-02T12:00:00+00:00,,78024.09,STOP_LOSS,,2026-09-02T12:30:00+00:00,,-208.30000000001746,27,GOLDM,10.0,-383.21000000001743,,1,,,SHORT,CLOSED,gold_02,5b315a7e-376f-4020-9418-204cd270a2e4,
242.95,2026-09-05 14:47:40,,239165.48,d5c4be1c-21cb-43c3-8c6a-03082c499cd9,2026-09-02T12:05:00+00:00,,238958.55,long_reversal,7f1f722b-671f-45ef-bbee-ed6aef8ba974,2026-09-02T16:35:00+00:00,,1034.6500000001106,29,SILVERM,5.0,791.7000000001105,,1,,,SHORT,CLOSED,silver_02,4238a504-c891-4e7c-a7a1-e385441f83cd,
242.81,2026-09-05 14:47:40,,238972.91,89ed9ac4-370a-479b-bf24-e9cf3a514466,2026-09-02T12:15:00+00:00,,238911.98,long_reversal,445d8ca9-57a9-4201-b509-c2a9b6504938,2026-09-03T14:00:00+00:00,,304.6499999999651,31,SILVERM,5.0,61.83999999996507,,1,,,SHORT,CLOSED,silver_01,cf1f5a49-0b3b-46a5-82f5-2cf81440c4f2,
