datetime,open,high,low,close,volume
2026-09-02T09:00:00,77999.02,78007.34,77994.64,77997.76,845
2026-09-02T09:15:00,77994.55,78002.71,77992.33,77997.92,498
2026-09-02T09:30:00,77995.91,77999.4,77982.41,77986.51,645
2026-09-02T09:45:00,77984.23,77990.37,77980.6,77987.26,503
2026-09-02T10:00:00,77989.06,77997.65,77985.48,77993.57,845
2026-09-02T10:15:00,77993.89,77997.62,77988.72,77991.83,390
2026-09-02T10:30:00,77993.1,77997.37,77986.85,77995.11,579
2026-09-02T10:45:00,77994.95,77996.06,77987.28,77992.06,440
2026-09-02T11:00:00,77991.74,78001.35,77990.92,77996.23,1101
2026-09-02T11:15:00,77993.77,78006.58,77991.13,78004.77,393
2026-09-02T11:30:00,78004.17,78007.52,77993.79,77997.11,351
2026-09-02T11:45:00,77995.47,78001.0,77982.64,77988.98,755
2026-09-02T12:00:00,77988.42,78002.03,77985.66,77996.6,527
2026-09-02T12:15:00,77993.84,78000.19,77991.04,77996.75,730
2026-09-02T12:30:00,77994.2,78000.6,77988.88,77992.58,595
2026-09-02T12:45:00,77992.93,78007.9,77989.76,78006.96,760
2026-09-02T13:00:00,78007.75,78013.25,78003.03,78003.62,269
2026-09-02T13:15:00,78004.99,78013.95,78002.65,78005.39,444
2026-09-02T13:30:00,78003.38,78004.8,77993.53,78003.12,451
2026-09-02T13:45:00,78006.35,78010.74,78003.92,78004.77,654
2026-09-02T14:00:00,78007.32,78010.77,77999.29,78006.39,626
2026-09-02T14:15:00,78008.67,78014.62,78004.28,78010.58,368
2026-09-02T14:30:00,78007.73,78012.1,78002.99,78009.19,598
2026-09-02T14:45:00,78008.82,78019.5,78006.65,78014.88,876
2026-09-02T15:00:00,78017.33,78025.2,78014.06,78021.92,683
2026-09-02T15:15:00,78023.0,78026.11,78015.27,78024.93,730
2026-09-02T15:30:00,78027.49,78031.16,78016.97,78028.33,781
2026-09-02T15:45:00,78031.03,78035.19,78027.41,78032.11,378
2026-09-02T16:00:00,78030.42,78038.56,78025.96,78036.07,552
2026-09-02T16:15:00,78031.26,78033.16,78021.97,78029.66,508
2026-09-02T16:30:00,78030.89,78035.34,78021.32,78021.91,1024
2026-09-02T16:45:00,78022.35,78026.14,78015.27,78018.3,758
2026-09-02T17:00:00,78016.81,78020.31,78005.39,78008.92,310
2026-09-02T17:15:00,78010.88,78012.77,78002.63,78004.77,872
